"scenario","robots","seed","method","success","collision","safety_violation","obstacle_collision","min_distance","completion_time","steps","final_goal_distance","progress_ratio","path_length","control_effort","smoothness","latency_ms","screen_reject_rate","screen_all_reject_rate","screen_min_margin","screen_selected_margin","screen_predicted_margin","screen_runtime_margin","rvo_intervention_rate","recovery_trigger_rate","recovery_safe_choice_rate","recovery_all_unsafe_rate","recovery_selected_margin","recovery_selected_progress","seed_index"
"bottleneck","4","14305","icgp_rvo_mpc","0","0","0","0","0.6487406492233276","16.8","140","0.2560531198978424","0.9769653510302304","11.664056625952073","0.4314408228199681","0.31187519649975","0.7646482145121679","0.2178571428571428","0.075","0.2730819123004868","0.4224366081814446","0.4321518066216064","0.7833307689850562","0.6660714285714285","0.0107142857142857","1.0","0.0","1.0457758873735357","0.0393287078787883","14"
"bottleneck","4","14322","icgp_rvo_mpc","0","0","0","0","0.5573691129684448","16.8","140","0.3118484616279602","0.9720479659736156","11.990046900398738","0.5383716394553111","0.3385630833251136","0.714390892829085","0.2860714285714286","0.1285714285714285","0.2066808232942363","0.3640785009357882","0.3735009465768441","0.7330078858106078","0.65","0.0071428571428571","1.0","0.0","0.9223540470869724","0.0631557554006576","15"
"bottleneck","4","14339","icgp_rvo_mpc","0","0","0","0","0.5315501689910889","16.8","140","0.2442428469657898","0.9781157448887824","12.298977089209076","0.6535725887054079","0.4413315551422004","0.7761071429220985","0.2610714285714285","0.1089285714285714","0.2316701793737885","0.3857896096510673","0.3964777269991806","0.7812667375628323","0.7","0.0053571428571428","1.0","0.0","0.9574910220970182","0.0597043555229902","16"
"bottleneck","4","14356","icgp_rvo_mpc","0","0","1","0","0.4742416441440582","16.8","140","0.2280760407447815","0.979537345468998","12.196320983508484","0.6752820401152608","0.4507000913843512","1.190765535907953","0.2914285714285714","0.0964285714285714","0.1676023567009534","0.3327644139723825","0.3393791789336371","0.6699520206232181","0.7196428571428571","0.0071428571428571","1.0","0.0","0.9067495445227728","0.0524245753884315","17"
"bottleneck","4","14373","icgp_rvo_mpc","0","0","0","0","0.6187453866004944","16.8","140","0.4225425720214844","0.9620694890618324","11.526739437000288","0.4532739821821451","0.3090863888684128","1.0934712499355166","0.2367857142857143","0.0785714285714285","0.2465473485362293","0.4053998310591298","0.4178290268256483","0.7618307797023794","0.7339285714285714","0.0107142857142857","1.0","0.0","1.0602290002504986","0.0373212113976478","18"
"bottleneck","4","14390","icgp_rvo_mpc","0","0","0","0","0.5826217532157898","16.8","140","0.1855473071336746","0.9833127353340388","12.202758855681168","0.662002886798291","0.5259801935604108","0.7184091069835371","0.2960714285714286","0.1392857142857143","0.2959068800822371","0.4442045772096898","0.4624301504131438","0.8012354112544438","0.6732142857142858","0.0053571428571428","1.0","0.0","1.2898942438761394","0.103802935903271","19"
"bottleneck","4","14407","icgp_rvo_mpc","1","0","0","0","0.535991907119751","13.68","114","0.1557143628597259","0.986053640022874","12.102088684448972","0.798973241028618","0.5201927277815055","0.8495686401657989","0.3263157894736842","0.1798245614035087","0.193477711586843","0.3390355480951008","0.3524310756917994","0.673665929705169","0.7587719298245614","0.0","0.0","0.0","0.0","0.0","20"
"bottleneck","4","14424","icgp_rvo_mpc","0","0","0","0","0.6509554386138916","16.8","140","0.4072504639625549","0.9634637907147408","11.613061302421556","0.4486586170077706","0.336901060791154","0.9446917858180574","0.2225","0.0517857142857142","0.2483095456345319","0.4104197351492683","0.4206834920807941","0.7734913155723523","0.7428571428571429","0.0089285714285714","1.0","0.0","0.9968764781951904","0.0559840537980198","21"
"bottleneck","4","14441","icgp_rvo_mpc","0","0","0","0","0.5351569652557373","16.8","140","0.876980721950531","0.9214653372764589","11.43414980632224","0.5961551269475811","0.3644431713236762","0.8369098212564755","0.2967857142857142","0.1214285714285714","0.1806782764207735","0.3357865995274615","0.3470546575634964","0.6957080153994084","0.6946428571428571","0.0053571428571428","1.0","0.0","0.8435208527247111","0.0651892592509587","22"
"bottleneck","4","14458","icgp_rvo_mpc","1","0","1","0","0.450894147157669","13.56","113","0.1245887354016304","0.9888245677575468","12.040236829197966","0.7826858042320546","0.5330533898163554","0.7867305310967427","0.3176991150442478","0.1703539823008849","0.1404495965089549","0.2916277666872644","0.315094016629051","0.6431050916807863","0.7765486725663717","0.0","0.0","0.0","0.0","0.0","23"
"bottleneck","4","14475","icgp_rvo_mpc","0","0","0","0","0.6194468140602112","16.8","140","0.202413871884346","0.9818281307816504","11.923263132397553","0.5106353510941777","0.3472565513436815","0.7003424998921608","0.25","0.0982142857142857","0.2596298269686505","0.4137295305464291","0.4281509578112487","0.7828099320146499","0.6803571428571429","0.0089285714285714","1.0","0.0","1.0532854366970343","0.042484672665596","24"
"bottleneck","4","14492","icgp_rvo_mpc","0","0","0","0","0.6578382849693298","16.8","140","0.3632486164569855","0.9675157554447652","11.839912068295234","0.4939237519572738","0.3679796103986778","1.257938035321006","0.25","0.0803571428571428","0.2110642367116855","0.3677942869880482","0.3792623317476485","0.7612544037547045","0.6875","0.0071428571428571","1.0","0.0","1.0128466992054392","0.0454831978306174","25"
"bottleneck","4","14509","icgp_rvo_mpc","0","0","1","0","0.456816017627716","16.8","140","0.5541142821311951","0.9504367783665656","12.283684499587253","0.7112535532317582","0.4722428776822718","0.926993035994071","0.2957142857142857","0.1107142857142857","0.1609407139870426","0.3258096940393942","0.3349392001586742","0.6487746654490862","0.6892857142857143","0.0071428571428571","1.0","0.0","0.9777090895175934","0.0634398830588907","26"
"bottleneck","4","14526","icgp_rvo_mpc","0","0","0","0","0.6035760641098022","16.8","140","0.1751319617033004","0.9842940084636213","12.786270813150622","0.6345679529156769","0.4382475789968988","1.3408396424763072","0.3164285714285714","0.1696428571428571","0.2413858456423855","0.3953329914576241","0.4244800554567244","0.8169272959694731","0.6732142857142858","0.0053571428571428","1.0","0.0","1.1458669312795002","0.0905573811382055","27"
"bottleneck","4","14543","icgp_rvo_mpc","1","0","0","0","0.5458711385726929","13.32","111","0.191160038113594","0.982881136238575","11.969037824950648","0.8450664396739674","0.5790312444992565","0.8920612611922201","0.3306306306306306","0.1981981981981982","0.1627338594255606","0.3142112923505106","0.326685495933788","0.615323168350088","0.7522522522522522","0.0","0.0","0.0","0.0","0.0","28"
"bottleneck","4","14560","icgp_rvo_mpc","1","0","1","0","0.5192922949790955","13.32","111","0.1669036000967025","0.9850585581734776","11.785952794161858","0.7380716919104269","0.4823354721858023","0.8181968468151198","0.3027027027027027","0.1869369369369369","0.1785117711225224","0.331868383564222","0.3453264369546026","0.6906134916906115","0.713963963963964","0.0","0.0","0.0","0.0","0.0","29"
"bottleneck","4","14067","passive_rvo_mpc","0","0","1","0","0.4653908312320709","16.8","140","0.4087803959846496","0.9634001478552818","12.853366850111344","0.9007103026725027","0.6015385213441082","0.5063476786095374","0.3096428571428571","0.1482142857142857","0.1715422503910758","0.2962866650812557","0.3218352287134167","0.7237128545710494","0.6928571428571428","0.0017857142857142","1.0","0.0","0.0549512672424316","0.1988005638122558","0"
"bottleneck","4","14084","passive_rvo_mpc","0","0","1","0","0.5009819865226746","16.8","140","0.8216095566749573","0.9261564090847968","11.744907941407291","0.7305484542668896","0.4198219205319349","0.3980855356790665","0.2753571428571428","0.0857142857142857","0.1905837853843313","0.3183832078930211","0.3728467007338722","0.6876743591427626","0.65","0.0053571428571428","1.0","0.0","0.8996552356084188","0.0855348099643985","1"
"bottleneck","4","14101","passive_rvo_mpc","0","0","0","0","0.5569123029708862","16.8","140","0.7477728128433228","0.932683415710926","11.535791047217572","0.6412222504062811","0.4111421747399228","0.6394751786501729","0.2892857142857143","0.1160714285714285","0.1792289930477548","0.3098401228068043","0.3299449910772947","0.717825151927387","0.725","0.0035714285714285","1.0","0.0","0.5739622402191162","0.1217841941863298","2"
"bottleneck","4","14118","passive_rvo_mpc","0","0","0","0","0.6188603639602661","16.8","140","0.3137329816818237","0.9718546513468028","11.974768609303284","0.5980746988905074","0.448836285494534","0.5486728575306188","0.2828571428571428","0.1321428571428571","0.1833781659755203","0.3102645711587175","0.3362581712696647","0.7306188052861813","0.8","0.0053571428571428","1.0","0.0","0.8001818944949023","0.091349174020191","3"
"bottleneck","4","14135","passive_rvo_mpc","0","0","0","0","0.7189207673072815","16.8","140","0.2845704257488251","0.9744313526898624","12.510662639560906","0.648385669707516","0.4257522530853748","0.4745330356594682","0.2932142857142857","0.1321428571428571","0.1830031712005709","0.3076031723645365","0.3441879969182245","0.7721337361789695","0.7196428571428571","0.0017857142857142","1.0","0.0","0.0573842156995808","0.1977028846740722","4"
"bottleneck","4","14152","passive_rvo_mpc","0","0","0","0","0.5236055254936218","16.8","140","1.191730260848999","0.8929972425103188","12.180104198720072","0.8465998563009115","0.547913587918239","0.5524262500849935","0.3889285714285714","0.1714285714285714","0.0965567496067038","0.2292445769501534","0.2791702031375362","0.5429889770305288","0.7785714285714286","0.0035714285714285","1.0","0.0","0.060961442736577","0.1869583129882812","5"
"bottleneck","4","14169","passive_rvo_mpc","0","0","0","0","0.624144971370697","16.8","140","0.6100088357925415","0.945204347372055","11.808222130246577","0.6025800646898071","0.3653323576719101","0.6929428571701075","0.2682142857142857","0.0821428571428571","0.1979838520938175","0.3265891197972352","0.3654511292464579","0.7261275490080219","0.6875","0.0053571428571428","1.0","0.0","0.9323508469263712","0.0623479649424552","6"
"bottleneck","4","14186","passive_rvo_mpc","0","0","0","0","0.612211287021637","16.8","140","0.342730849981308","0.9691422767937184","11.899826648594171","0.6081499436441975","0.3924201569054276","0.4043662499498168","0.2628571428571428","0.1125","0.2025951451974166","0.3292935695304804","0.3549535599394269","0.7578102096135159","0.6928571428571428","0.0053571428571428","1.0","0.0","0.7380962810674312","0.0641553457981596","7"
"bottleneck","4","14203","passive_rvo_mpc","0","0","1","0","0.5028550624847412","16.8","140","0.2970909774303436","0.9734623897820712","12.843079161766582","0.8770937348167146","0.6340700803790241","0.3807528571867026","0.3125","0.1589285714285714","0.1782517221631878","0.3014289495674384","0.3333176817541015","0.6792751625486387","0.7303571428571428","0.0035714285714285","1.0","0.0","0.6858623585846413","0.1053068917244672","8"
"bottleneck","4","14220","passive_rvo_mpc","0","0","1","0","0.4795611798763275","16.8","140","0.4867952466011047","0.9563756100833416","12.533799106826336","0.8439269321472759","0.5722740086760106","0.4324230355190853","0.3114285714285714","0.15","0.1730365187929778","0.2998977770354527","0.3400054238841066","0.6733733605724723","0.6839285714285714","0.0035714285714285","1.0","0.0","0.6567316937446595","0.1260064141824841","9"
"bottleneck","4","14237","passive_rvo_mpc","0","0","1","0","0.4401367306709289","16.8","140","0.7907238006591797","0.9290205538272858","12.653188311698614","0.9772899667923672","0.9121827085968108","0.50807482154726","0.3071428571428571","0.1875","0.1987869496106463","0.3135353929012411","0.3590947751888655","0.6393331668889474","0.7","0.0017857142857142","1.0","0.0","0.4630343127250671","-0.0986686825752258","10"
