noise_level,scenario,robots,seed_index,primary,baseline,comparison,metric,direction,primary_value,baseline_value,delta,signed_improvement
clean,corridor,4,22,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.6328314542770386,0.6830765604972839,-0.05024510622024536,-0.05024510622024536
clean,corridor,4,23,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,23,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,1.0,0.0,1.0,-1.0
clean,corridor,4,23,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,23,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9878522772341968,0.988562169484794,-0.0007098922505972549,-0.0007098922505972549
clean,corridor,4,23,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1240197718143463,0.1167722642421722,0.0072475075721741,-0.0072475075721741
clean,corridor,4,23,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,13.8,13.08,0.7200000000000006,-0.7200000000000006
clean,corridor,4,23,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.4982507824897766,0.6253384351730347,-0.12708765268325806,-0.12708765268325806
clean,corridor,4,24,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,24,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,24,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,24,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.978274554014206,0.9824283756315708,-0.004153821617364772,-0.004153821617364772
clean,corridor,4,24,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.2217368483543396,0.1793416142463684,0.04239523410797119,-0.04239523410797119
clean,corridor,4,24,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,11.64,11.04,0.6000000000000014,-0.6000000000000014
clean,corridor,4,24,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.6809396147727966,0.6871308088302612,-0.0061911940574646,-0.0061911940574646
clean,corridor,4,25,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,25,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,25,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,25,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9810926355421544,0.9888302283361554,-0.007737592794000991,-0.007737592794000991
clean,corridor,4,25,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1930293589830398,0.1140346005558967,0.0789947584271431,-0.0789947584271431
clean,corridor,4,25,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,11.88,14.28,-2.3999999999999986,2.3999999999999986
clean,corridor,4,25,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.6249598264694214,0.5958586931228638,0.029101133346557617,0.029101133346557617
clean,corridor,4,26,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
