noise_level,scenario,robots,seed_index,contrast,metric,direction,residual_conditioning_effect,plain_conditioning_effect,interaction_delta
medium,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.0746854841709137,-0.011691585183143616,-0.06299389898777008
medium,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.7740173339843746,0.12116789817810103,0.6528494358062735
medium,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
medium,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,0.029429733753204346,0.04976212978363037,-0.020332396030426025
high,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
high,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,1.0,-1.0
high,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
high,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,0.021831393241882324,0.05269564688205719,-0.030864253640174866
high,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-0.22625398635864258,-0.5461214780807495,0.31986749172210693
high,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
high,merge_bottleneck,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.10410058498382568,-0.059929609298706055,-0.04417097568511963
clean,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
clean,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
clean,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
clean,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-8.571241050958633e-05,0.005538347177207359,-0.005624059587716945
clean,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.0008217170834542015,-0.053096145391464206,0.05391786247491841
clean,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,4.08,0.2400000000000002,3.84
clean,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.2957424521446228,-0.01331448554992698,-0.2824279665946958
low,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
low,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
low,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
low,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,0.0127433892339468,-0.0014766864478588104,0.01422007568180561
low,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-0.1221708953380585,0.014156989753246293,-0.13632788509130478
low,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,1.3200000000000003,-0.5999999999999996,1.92
low,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,0.036640048027038796,0.06338083744049083,-0.026740789413452037
medium,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
medium,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
medium,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
medium,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.011065928265452385,0.001499486155807972,-0.012565414421260357
medium,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.10608907788991931,-0.0143755823373794,0.12046466022729871
medium,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,-0.120000000000001,-0.2400000000000002,0.11999999999999922
medium,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,0.0,-0.023583292961120383,0.023583292961120383
high,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
high,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
high,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
high,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.008115943521261215,-0.0018798373639582477,-0.0062361061573029675
high,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.07780757546424868,0.01802200078964232,0.059785574674606365
high,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,-0.7200000000000006,-0.5999999999999996,-0.120000000000001
high,four_way_stop,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.044036269187927246,0.0,-0.044036269187927246
clean,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
clean,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
clean,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,1.0,0.0,1.0
clean,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,0.008615499362349621,0.0013137366622686386,0.007301762700080983
clean,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-0.08256463706493378,-0.0125898867845535,-0.06997475028038028
clean,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,-4.559999999999999,-1.559999999999997,-3.0000000000000018
clean,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,0.05528908967971802,-0.04070168733596802,0.09599077701568604
low,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
low,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
low,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
