time_s,robot_id,model_name,pose_topic,x,y,yaw,bridge_source,odom_mode,start_x,start_y,start_error_m,within_start_tolerance
16.400000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
16.400000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
16.500000,robot1,robot1,/robot1/ground_truth_pose,-2.200013,-0.899974,0.288809,model_states,world,-2.200000,-0.900000,0.000029,True
16.500000,robot2,robot2,/robot2/ground_truth_pose,-2.199942,0.299720,-0.159073,model_states,world,-2.200000,0.300000,0.000286,True
16.500000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
16.500000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
16.600000,robot1,robot1,/robot1/ground_truth_pose,-2.200013,-0.899973,0.288827,model_states,world,-2.200000,-0.900000,0.000030,True
16.600000,robot2,robot2,/robot2/ground_truth_pose,-2.199941,0.299721,-0.159083,model_states,world,-2.200000,0.300000,0.000285,True
16.600000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
16.600000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
16.700000,robot1,robot1,/robot1/ground_truth_pose,-2.200014,-0.899973,0.288847,model_states,world,-2.200000,-0.900000,0.000030,True
16.700000,robot2,robot2,/robot2/ground_truth_pose,-2.199941,0.299721,-0.159091,model_states,world,-2.200000,0.300000,0.000285,True
16.700000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
16.700000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
16.800000,robot1,robot1,/robot1/ground_truth_pose,-2.200014,-0.899973,0.288863,model_states,world,-2.200000,-0.900000,0.000031,True
16.800000,robot2,robot2,/robot2/ground_truth_pose,-2.199941,0.299721,-0.159101,model_states,world,-2.200000,0.300000,0.000285,True
16.800000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
16.800000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
16.900000,robot1,robot1,/robot1/ground_truth_pose,-2.200014,-0.899972,0.288881,model_states,world,-2.200000,-0.900000,0.000031,True
16.900000,robot2,robot2,/robot2/ground_truth_pose,-2.199941,0.299722,-0.159110,model_states,world,-2.200000,0.300000,0.000285,True
16.900000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
16.900000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
17.000000,robot1,robot1,/robot1/ground_truth_pose,-2.200015,-0.899972,0.288900,model_states,world,-2.200000,-0.900000,0.000031,True
17.000000,robot2,robot2,/robot2/ground_truth_pose,-2.199941,0.299722,-0.159118,model_states,world,-2.200000,0.300000,0.000284,True
