time_s,robot_id,method,vx_cmd,wz_cmd,acc_x,acc_y,latency_ms,fallback,fallback_reason,goal_distance_m
53.900000,robot1,icgp_rvo_mpc,0.014999,1.600000,0.378263,0.243756,191.563581,False,,3.431615
53.900000,robot2,icgp_rvo_mpc,0.265769,0.010907,0.339673,-0.215493,221.131694,False,,2.833211
53.900000,robot3,icgp_rvo_mpc,0.138892,-0.360027,-0.377290,0.245260,163.200097,False,,4.018485
53.900000,robot4,icgp_rvo_mpc,0.000000,1.600000,-0.440365,-0.092619,218.555940,False,,4.324772
54.800000,robot1,icgp_rvo_mpc,0.054184,0.108203,0.379775,0.241394,129.903205,False,,3.423824
54.800000,robot2,icgp_rvo_mpc,0.288128,-0.105781,0.308707,-0.187045,325.367107,False,,2.610013
54.800000,robot3,icgp_rvo_mpc,0.172916,0.136718,-0.383710,0.235088,230.205162,False,,3.909270
54.800000,robot4,icgp_rvo_mpc,0.000000,1.600000,-0.439981,-0.094429,277.171083,False,,4.341847
54.800000,robot1,icgp_rvo_mpc,0.054184,0.108203,0.379775,0.241394,344.276916,False,,3.423824
54.800000,robot2,icgp_rvo_mpc,0.288128,-0.105781,0.308707,-0.187045,285.544419,False,,2.610013
54.800000,robot3,icgp_rvo_mpc,0.172916,0.136718,-0.383710,0.235088,187.823174,False,,3.909270
54.800000,robot4,icgp_rvo_mpc,0.000000,1.600000,-0.439981,-0.094429,160.265147,False,,4.341847
55.900000,robot1,icgp_rvo_mpc,0.083647,-0.433388,0.388753,0.226653,368.501346,False,,3.379987
55.900000,robot2,icgp_rvo_mpc,0.250394,0.409731,-0.242504,0.379067,269.733028,False,,2.310117
55.900000,robot3,icgp_rvo_mpc,0.139363,0.578135,0.065682,-0.445181,201.510190,False,,3.738161
55.900000,robot4,icgp_rvo_mpc,0.004386,1.600000,-0.441291,-0.088101,156.055585,False,,4.342190
55.900000,robot1,icgp_rvo_mpc,0.083647,-0.433388,0.388753,0.226653,138.937457,False,,3.379987
55.900000,robot2,icgp_rvo_mpc,0.250394,0.409731,-0.242504,0.379067,257.826838,False,,2.310117
55.900000,robot3,icgp_rvo_mpc,0.139363,0.578135,0.065682,-0.445181,234.220893,False,,3.738161
55.900000,robot4,icgp_rvo_mpc,0.004386,1.600000,-0.441291,-0.088101,257.027048,False,,4.342190
56.900000,robot1,icgp_rvo_mpc,0.022911,0.286835,-0.024190,0.068871,168.155274,False,,3.361015
56.900000,robot2,icgp_rvo_mpc,0.244210,0.061798,-0.233189,0.384867,198.790775,False,,2.044851
56.900000,robot3,icgp_rvo_mpc,0.144709,0.207944,0.117531,-0.434380,136.542029,False,,3.584391
56.900000,robot4,icgp_rvo_mpc,0.000000,-1.600000,0.092095,0.030995,212.358589,False,,4.340999
57.400000,robot1,icgp_rvo_mpc,0.000000,1.600000,-0.441041,-0.089348,184.589650,False,,3.357760
57.400000,robot2,icgp_rvo_mpc,0.219879,0.158999,-0.324641,0.311621,162.805365,False,,1.932104
57.400000,robot3,icgp_rvo_mpc,0.130274,0.441016,0.186202,-0.409669,243.681554,False,,3.526686
57.400000,robot4,icgp_rvo_mpc,0.000000,1.600000,0.440442,0.092255,273.181607,False,,4.339045
58.000000,robot1,icgp_rvo_mpc,0.000000,1.600000,-0.438584,-0.100719,291.238524,False,,3.357475
58.000000,robot2,icgp_rvo_mpc,0.049020,1.095413,-0.386269,0.230860,152.387593,False,,1.895819
58.000000,robot3,icgp_rvo_mpc,0.038763,1.600000,0.265464,-0.363358,180.886772,False,,3.507490
58.000000,robot4,icgp_rvo_mpc,0.000000,1.600000,0.442949,0.079350,186.834221,False,,4.338742
58.500000,robot1,icgp_rvo_mpc,0.000000,1.600000,-0.436466,-0.109532,244.255109,False,,3.357447
58.500000,robot2,icgp_rvo_mpc,0.067193,0.733163,-0.386330,0.230757,234.230238,False,,1.853505
58.500000,robot3,icgp_rvo_mpc,0.035482,1.600000,0.274153,-0.356848,164.099387,False,,3.491262
