time_s,arrival_time_s,stamp_sec,stamp_nanosec,robot_id,frame_id,x,y,yaw,vx,vy,pose_source,source_topic,sample_age_s,time_basis
2.400000,14.300000,14,300000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
2.500000,14.400000,14,400000000,robot1,map,-2.200005,-0.899981,0.288381,-0.000003,0.000005,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
2.500000,14.400000,14,400000000,robot2,map,-2.199947,0.299713,-0.158851,0.000000,0.000006,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
2.500000,14.400000,14,400000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
2.500000,14.400000,14,400000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
2.600000,14.500000,14,500000000,robot1,map,-2.200006,-0.899980,0.288404,-0.000003,0.000005,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
2.600000,14.500000,14,500000000,robot2,map,-2.199947,0.299713,-0.158862,0.000003,0.000002,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
2.600000,14.500000,14,500000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
2.600000,14.500000,14,500000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
2.700000,14.600000,14,600000000,robot1,map,-2.200006,-0.899980,0.288428,-0.000006,0.000000,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
2.700000,14.600000,14,600000000,robot2,map,-2.199946,0.299713,-0.158873,0.000003,0.000003,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
2.700000,14.600000,14,600000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
2.700000,14.600000,14,600000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
2.800000,14.700000,14,700000000,robot1,map,-2.200006,-0.899980,0.288448,-0.000003,0.000005,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
2.800000,14.700000,14,700000000,robot2,map,-2.199946,0.299714,-0.158885,0.000000,0.000006,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
2.800000,14.700000,14,700000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
2.800000,14.700000,14,700000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
2.900000,14.800000,14,800000000,robot1,map,-2.200007,-0.899979,0.288471,-0.000003,0.000005,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
2.900000,14.800000,14,800000000,robot2,map,-2.199946,0.299714,-0.158896,0.000003,0.000002,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
2.900000,14.800000,14,800000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
2.900000,14.800000,14,800000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
3.000000,14.900000,14,900000000,robot1,map,-2.200007,-0.899979,0.288494,-0.000006,0.000000,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
3.000000,14.900000,14,900000000,robot2,map,-2.199946,0.299714,-0.158907,0.000003,0.000003,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
3.000000,14.900000,14,900000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
3.000000,14.900000,14,900000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
3.100000,15.000000,15,0,robot1,map,-2.200008,-0.899979,0.288513,-0.000003,0.000005,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
3.100000,15.000000,15,0,robot2,map,-2.199946,0.299715,-0.158919,0.000000,0.000006,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
3.100000,15.000000,15,0,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
3.100000,15.000000,15,0,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
3.200000,15.100000,15,100000000,robot1,map,-2.200008,-0.899978,0.288535,-0.000003,0.000005,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
3.200000,15.100000,15,100000000,robot2,map,-2.199945,0.299715,-0.158929,0.000003,0.000002,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
3.200000,15.100000,15,100000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
3.200000,15.100000,15,100000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
3.300000,15.200000,15,200000000,robot1,map,-2.200008,-0.899978,0.288557,-0.000006,0.000001,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
3.300000,15.200000,15,200000000,robot2,map,-2.199945,0.299716,-0.158940,0.000003,0.000003,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
3.300000,15.200000,15,200000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
3.300000,15.200000,15,200000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
3.400000,15.300000,15,300000000,robot1,map,-2.200009,-0.899978,0.288576,-0.000003,0.000005,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
3.400000,15.300000,15,300000000,robot2,map,-2.199945,0.299716,-0.158952,0.000000,0.000006,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
